"subtype","sender","receiver","total_score"
"TNBC","Myeloid","Cancer Epithelial",2028.76913965325
"TNBC","Myeloid","Endothelial",5752.34708198989
"TNBC","Myeloid","Normal Epithelial",2272.54316050494
"TNBC","Myeloid","Plasmablasts",1177.77403106178
"TNBC","Myeloid","PVL",3849.89968251592
"TNBC","Myeloid","T-cells",5256.50660954161
"TNBC","Normal Epithelial","B-cells",2994.45950810773
"TNBC","Normal Epithelial","CAFs",1073.92641893305
"TNBC","Normal Epithelial","Cancer Epithelial",586.390946903512
"TNBC","Normal Epithelial","Endothelial",2190.05462100361
"TNBC","Normal Epithelial","Myeloid",3748.58714073407
"TNBC","Normal Epithelial","Plasmablasts",473.572080944202
"TNBC","Normal Epithelial","PVL",1038.31119833933
"TNBC","Normal Epithelial","T-cells",1400.11740835752
"TNBC","Plasmablasts","B-cells",1469.17878838718
"TNBC","Plasmablasts","CAFs",409.577709797572
"TNBC","Plasmablasts","Cancer Epithelial",267.01367938198
"TNBC","Plasmablasts","Endothelial",865.75927621713
"TNBC","Plasmablasts","Myeloid",1789.50197712611
"TNBC","Plasmablasts","Normal Epithelial",239.242301775048
"TNBC","Plasmablasts","PVL",395.668549239484
"TNBC","Plasmablasts","T-cells",1113.99090252164
"TNBC","PVL","B-cells",2956.93156493684
"TNBC","PVL","CAFs",3780.9364918437
"TNBC","PVL","Cancer Epithelial",1385.57317203203
"TNBC","PVL","Endothelial",4060.17534572356
"TNBC","PVL","Myeloid",4443.99600071224
"TNBC","PVL","Normal Epithelial",1431.78146863999
"TNBC","PVL","Plasmablasts",732.733999602555
"TNBC","PVL","T-cells",3387.26154243053
"TNBC","T-cells","B-cells",2779.65864168031
"TNBC","T-cells","CAFs",1043.21784344395
"TNBC","T-cells","Cancer Epithelial",779.154521501437
"TNBC","T-cells","Endothelial",2443.18471339004
"TNBC","T-cells","Myeloid",3682.00321825552
"TNBC","T-cells","Normal Epithelial",775.473564301519
"TNBC","T-cells","Plasmablasts",612.121809698325
"TNBC","T-cells","PVL",1158.35728004348
